lote,lote_id,latitude,longitude,station_id,codigo_estacion,unidad_produccion
Dugarte 1,4f1bf8d9-082f-4d7d-83a6-d20796e2925d,9.57732,-69.27581,236176,P19,Agropecuaria Dos Caminos
Dugarte 2,7b61a69f-69e5-4f88-8447-1a414c3b0fc2,9.57732,-69.27581,236176,P19,Agropecuaria Dos Caminos
Villa Marina 1,c4ec995d-fbf4-4f15-8f34-63724d7a16fa,9.27254,-69.15076,212695,P10,Las Cupulas
julio 1,48b044df-eedb-4c67-87d1-97804decfdef,,,,,Juan Hilario
Julio 2,7acc3ec9-eeef-47a0-881e-36a8353eb302,,,,,Juan Hilario
L01 LOTE DETRÁS DE LA CASA,ef8fb276-16c8-47ab-b122-1798c47f2660,8.99576,-65.51944,186669,G02,Los Espinitos
L02 LOTE LOS MANGOS,21739ad5-631b-472d-b168-d22372b1c1bc,8.99576,-65.51944,186669,G02,Los Espinitos
L04 LOTE EL DRAGAL 1,fff64211-9182-4b93-8cfd-714037e78315,8.99576,-65.51944,186669,G02,Los Espinitos
L05 LOTE EL DRAGAL 4,a4f14b29-f9f4-486c-8202-ae7f5d35cae1,8.99576,-65.51944,186669,G02,Los Espinitos
L06 LOTE EL MANGO B,436c3d94-d3bf-4c44-bd90-ac53e625d0f3,8.99576,-65.51944,186669,G02,Los Espinitos
Bernaldino 1+2,9b5d4495-8402-453a-b937-5b2ea11f0d08,10.196259,-68.868286,238570,Y07,Los Galo
Bernaldino 3,b9dce86b-7791-49fd-938f-f2f60c240621,10.196259,-68.868286,238570,Y07,Los Galo
El Grande 1,88bf6daa-e00f-4c66-b034-6962315377db,10.196259,-68.868286,238570,Y07,Los Galo
El Grande 2,af76ad46-bc27-4f6f-a81c-a9e64230245d,10.196259,-68.868286,238570,Y07,Los Galo
El Mamón,5761d0ff-61b1-45de-b4ab-24a1ec89bd4d,10.196259,-68.868286,238570,Y07,Los Galo
El Samán,62c59f2f-0277-4f65-bbce-b4c9eb443417,10.196259,-68.868286,238570,Y07,Los Galo
La Autopista,0af30eaf-3848-4a2b-b3f1-a229206ffc25,10.196259,-68.868286,238570,Y07,Los Galo
Casa Nueva,31d09810-1abe-4f2e-8893-aeea6b7d205a,9.05184,-65.47527,213617,G06,Los Nivillos Mahomar
L01 LOTE CIRUELA ABAJO,52e348b0-4918-4158-a5d7-3472e0b0854d,9.05184,-65.47527,213617,G06,Los Nivillos Mahomar
L02 LOTE CIRUELA ARRIBA,6c7f9251-0153-4ab2-9c81-5077ced0d92e,9.05184,-65.47527,213617,G06,Los Nivillos Mahomar
Arnaldo,2b2b02bd-aef4-4d63-982d-42e24d54ccf0,10.08871,-69.04026,237976,Y05,Mayurupi
El Manguito,c7cf8cdc-95de-441b-926c-2410117fb265,10.08871,-69.04026,237976,Y05,Mayurupi
La Casita,8acf1792-df92-41a3-8060-0a3dfe16e28a,10.08871,-69.04026,237976,Y05,Mayurupi
