station_id,fecha_hora_dia,temp_c,temp_max_c,temp_min_c,hum_pct,hum_max_pct,hum_min_pct,lluvia_mm,tasa_lluvia_mm_h,radiacion_w_m2,radiacion_max_w_m2,viento_avg_kmh,viento_max_kmh,dir_viento,punto_rocio_c,barometro_inhg,et_mm,ts,fecha_hora,n_lecturas
184965,2026-07-02,,,,,,,3.0,0.44,227.24,1046.0,1.95,20.9,5.95,,,3.61,1783035900,2026-07-02 23:45:00,96
184965,2026-07-03,,,,,,,26.6,5.98,105.63,536.0,1.0,17.7,8.21,,,1.42,1783122300,2026-07-03 23:45:00,96
184965,2026-07-04,,,,,,,0.0,0.0,149.35,566.0,0.87,11.3,8.06,,,2.21,1783208700,2026-07-04 23:45:00,96
184965,2026-07-05,,,,,,,0.0,0.0,266.13,956.0,1.52,14.5,7.02,,,4.12,1783295100,2026-07-05 23:45:00,96
184965,2026-07-06,,,,,,,9.6,1.83,197.82,1041.0,2.4,22.5,4.88,,,3.15,1783381500,2026-07-06 23:45:00,96
184965,2026-07-07,,,,,,,3.4,0.58,169.24,1093.0,1.07,17.7,6.86,,,2.4,1783467900,2026-07-07 23:45:00,96
184965,2026-07-08,,,,,,,0.2,0.0,115.37,621.0,0.95,12.9,6.24,,,1.76,1783554300,2026-07-08 23:45:00,96
184965,2026-07-09,,,,,,,5.8,2.14,174.86,1011.0,2.05,20.9,8.28,,,2.75,1783640700,2026-07-09 23:45:00,96
184965,2026-07-10,,,,,,,0.0,0.0,168.31,1005.0,0.88,16.1,9.86,,,2.63,1783727100,2026-07-10 23:45:00,96
184965,2026-07-11,,,,,,,18.2,2.35,235.49,888.0,1.03,20.9,9.14,,,3.74,1783813500,2026-07-11 23:45:00,96
184965,2026-07-12,,,,,,,0.6,0.04,197.77,837.0,0.67,9.7,8.3,,,3.11,1783899900,2026-07-12 23:45:00,96
184965,2026-07-13,,,,,,,26.0,2.13,233.95,1085.0,1.2,24.1,8.06,,,3.61,1783986300,2026-07-13 23:45:00,96
184965,2026-07-14,,,,,,,0.0,0.0,273.34,991.0,1.7,17.7,7.3,,,4.43,1784072700,2026-07-14 23:45:00,96
184965,2026-07-15,,,,,,,0.0,0.0,255.43,1027.0,0.9,16.1,5.5,,,4.09,1784159100,2026-07-15 23:45:00,96
184965,2026-07-16,,,,,,,0.0,0.0,259.91,1009.0,1.7,17.7,5.64,,,4.24,1784245500,2026-07-16 23:45:00,96
184965,2026-07-17,,,,,,,0.0,0.0,305.15,1011.0,0.93,19.3,6.65,,,4.87,1784331900,2026-07-17 23:45:00,96
184965,2026-07-18,,,,,,,16.0,2.06,222.05,1025.0,2.22,24.1,9.81,,,3.82,1784418300,2026-07-18 23:45:00,96
184965,2026-07-19,,,,,,,4.6,1.29,274.66,1213.0,1.32,17.7,9.44,,,4.11,1784504700,2026-07-19 23:45:00,96
184965,2026-07-20,,,,,,,4.8,1.69,129.82,851.0,1.03,24.1,10.28,,,1.73,1784591100,2026-07-20 23:45:00,96
184965,2026-07-21,,,,,,,0.0,0.0,238.83,928.0,0.77,12.9,9.4,,,3.79,1784677500,2026-07-21 23:45:00,96
184965,2026-07-22,,,,,,,0.0,0.0,256.2,958.0,0.77,16.1,6.84,,,3.94,1784763900,2026-07-22 23:45:00,96
184965,2026-07-23,,,,,,,0.0,0.0,173.45,884.0,0.27,9.7,10.12,,,2.47,1784850300,2026-07-23 23:45:00,96
184965,2026-07-24,,,,,,,0.0,0.0,258.91,1060.0,0.92,12.9,7.69,,,4.08,1784936700,2026-07-24 23:45:00,96
184965,2026-07-25,,,,,,,14.4,2.02,251.53,1069.0,0.97,14.5,9.58,,,3.65,1785023100,2026-07-25 23:45:00,96
184965,2026-07-26,,,,,,,22.2,2.56,134.32,1127.0,1.05,30.6,7.2,,,2.06,1785109500,2026-07-26 23:45:00,96
184965,2026-07-27,,,,,,,0.2,0.0,330.94,882.0,0.28,9.7,7.65,,,4.3,1785195900,2026-07-27 23:45:00,96
184965,2026-07-28,,,,,,,0.0,0.0,269.38,998.0,0.15,11.3,6.58,,,4.2,1785282300,2026-07-28 23:45:00,96
184965,2026-07-29,,,,,,,12.6,3.62,136.61,1039.0,0.62,8.0,11.04,,,1.87,1785368700,2026-07-29 23:45:00,96
184965,2026-07-30,,,,,,,0.0,0.0,283.05,1100.0,0.05,6.4,8.8,,,4.31,1785455100,2026-07-30 23:45:00,96
